annual_avoidance_count,simulation_frequency,estimated_probability
199,1,0.0000050000
200,1,0.0000050000
201,1,0.0000050000
202,1,0.0000050000
205,2,0.0000100000
206,3,0.0000150000
207,2,0.0000100000
208,2,0.0000100000
209,8,0.0000400000
210,11,0.0000550000
211,9,0.0000450000
212,8,0.0000400000
213,10,0.0000500000
214,14,0.0000700000
215,17,0.0000850000
216,26,0.0001300000
217,32,0.0001600000
218,56,0.0002800000
219,59,0.0002950000
220,56,0.0002800000
221,91,0.0004550000
222,92,0.0004600000
223,101,0.0005050000
224,121,0.0006050000
225,134,0.0006700000
226,149,0.0007450000
227,175,0.0008750000
228,220,0.0011000000
229,264,0.0013200000
230,259,0.0012950000
231,359,0.0017950000
232,373,0.0018650000
233,478,0.0023900000
234,576,0.0028800000
235,654,0.0032700000
236,662,0.0033100000
237,828,0.0041400000
238,946,0.0047300000
239,1023,0.0051150000
240,1128,0.0056400000
241,1254,0.0062700000
242,1346,0.0067300000
243,1585,0.0079250000
244,1718,0.0085900000
245,1793,0.0089650000
246,1985,0.0099250000
247,2259,0.0112950000
248,2356,0.0117800000
249,2600,0.0130000000
250,2724,0.0136200000
251,2981,0.0149050000
252,3142,0.0157100000
253,3381,0.0169050000
254,3400,0.0170000000
255,3730,0.0186500000
256,3824,0.0191200000
257,4040,0.0202000000
258,4157,0.0207850000
259,4286,0.0214300000
260,4451,0.0222550000
261,4488,0.0224400000
262,4555,0.0227750000
263,4737,0.0236850000
264,4665,0.0233250000
265,4811,0.0240550000
266,4832,0.0241600000
267,4802,0.0240100000
268,4901,0.0245050000
269,4726,0.0236300000
270,4580,0.0229000000
271,5013,0.0250650000
272,4709,0.0235450000
273,4558,0.0227900000
274,4353,0.0217650000
275,4465,0.0223250000
276,4312,0.0215600000
277,4275,0.0213750000
278,3961,0.0198050000
279,3811,0.0190550000
280,3664,0.0183200000
281,3457,0.0172850000
282,3282,0.0164100000
283,3151,0.0157550000
284,2939,0.0146950000
285,2732,0.0136600000
286,2564,0.0128200000
287,2506,0.0125300000
288,2288,0.0114400000
289,2054,0.0102700000
290,1891,0.0094550000
291,1798,0.0089900000
292,1542,0.0077100000
293,1504,0.0075200000
294,1360,0.0068000000
295,1237,0.0061850000
296,1133,0.0056650000
297,993,0.0049650000
298,915,0.0045750000
299,865,0.0043250000
300,757,0.0037850000
301,625,0.0031250000
302,577,0.0028850000
303,481,0.0024050000
304,433,0.0021650000
305,396,0.0019800000
306,356,0.0017800000
307,283,0.0014150000
308,257,0.0012850000
309,221,0.0011050000
310,209,0.0010450000
311,167,0.0008350000
312,147,0.0007350000
313,119,0.0005950000
314,76,0.0003800000
315,97,0.0004850000
316,53,0.0002650000
317,68,0.0003400000
318,57,0.0002850000
319,42,0.0002100000
320,31,0.0001550000
321,37,0.0001850000
322,23,0.0001150000
323,25,0.0001250000
324,20,0.0001000000
325,9,0.0000450000
326,8,0.0000400000
327,7,0.0000350000
328,5,0.0000250000
329,5,0.0000250000
330,4,0.0000200000
332,3,0.0000150000
333,1,0.0000050000
334,4,0.0000200000
340,1,0.0000050000
341,1,0.0000050000
344,1,0.0000050000
352,1,0.0000050000
